,city,value,table,subject,gender
0,全    国,1409778724.0,1-5  各地区分年龄、性别的人口,合    计,合计
1,北    京,21893095.0,1-5  各地区分年龄、性别的人口,合    计,合计
2,天    津,13866009.0,1-5  各地区分年龄、性别的人口,合    计,合计
3,河    北,74610235.0,1-5  各地区分年龄、性别的人口,合    计,合计
4,山    西,34915616.0,1-5  各地区分年龄、性别的人口,合    计,合计
5,内 蒙 古,24049155.0,1-5  各地区分年龄、性别的人口,合    计,合计
6,辽    宁,42591407.0,1-5  各地区分年龄、性别的人口,合    计,合计
7,吉    林,24073453.0,1-5  各地区分年龄、性别的人口,合    计,合计
8,黑 龙 江,31850088.0,1-5  各地区分年龄、性别的人口,合    计,合计
9,上    海,24870895.0,1-5  各地区分年龄、性别的人口,合    计,合计
10,江    苏,84748016.0,1-5  各地区分年龄、性别的人口,合    计,合计
11,浙    江,64567588.0,1-5  各地区分年龄、性别的人口,合    计,合计
12,安    徽,61027171.0,1-5  各地区分年龄、性别的人口,合    计,合计
13,福    建,41540086.0,1-5  各地区分年龄、性别的人口,合    计,合计
14,江    西,45188635.0,1-5  各地区分年龄、性别的人口,合    计,合计
15,山    东,101527453.0,1-5  各地区分年龄、性别的人口,合    计,合计
16,河    南,99365519.0,1-5  各地区分年龄、性别的人口,合    计,合计
17,湖    北,57752557.0,1-5  各地区分年龄、性别的人口,合    计,合计
18,湖    南,66444864.0,1-5  各地区分年龄、性别的人口,合    计,合计
19,广    东,126012510.0,1-5  各地区分年龄、性别的人口,合    计,合计
20,广    西,50126804.0,1-5  各地区分年龄、性别的人口,合    计,合计
21,海    南,10081232.0,1-5  各地区分年龄、性别的人口,合    计,合计
22,重    庆,32054159.0,1-5  各地区分年龄、性别的人口,合    计,合计
23,四    川,83674866.0,1-5  各地区分年龄、性别的人口,合    计,合计
24,贵    州,38562148.0,1-5  各地区分年龄、性别的人口,合    计,合计
25,云    南,47209277.0,1-5  各地区分年龄、性别的人口,合    计,合计
26,西    藏,3648100.0,1-5  各地区分年龄、性别的人口,合    计,合计
27,陕    西,39528999.0,1-5  各地区分年龄、性别的人口,合    计,合计
28,甘    肃,25019831.0,1-5  各地区分年龄、性别的人口,合    计,合计
29,青    海,5923957.0,1-5  各地区分年龄、性别的人口,合    计,合计
30,宁    夏,7202654.0,1-5  各地区分年龄、性别的人口,合    计,合计
31,新    疆,25852345.0,1-5  各地区分年龄、性别的人口,合    计,合计
32,全    国,721416394.0,1-5  各地区分年龄、性别的人口,合    计,男
33,北    京,11195390.0,1-5  各地区分年龄、性别的人口,合    计,男
34,天    津,7144949.0,1-5  各地区分年龄、性别的人口,合    计,男
35,河    北,37679003.0,1-5  各地区分年龄、性别的人口,合    计,男
36,山    西,17805148.0,1-5  各地区分年龄、性别的人口,合    计,男
37,内 蒙 古,12275274.0,1-5  各地区分年龄、性别的人口,合    计,男
38,辽    宁,21263529.0,1-5  各地区分年龄、性别的人口,合    计,男
39,吉    林,12018319.0,1-5  各地区分年龄、性别的人口,合    计,男
40,黑 龙 江,15952468.0,1-5  各地区分年龄、性别的人口,合    计,男
41,上    海,12875211.0,1-5  各地区分年龄、性别的人口,合    计,男
42,江    苏,43031586.0,1-5  各地区分年龄、性别的人口,合    计,男
43,浙    江,33680008.0,1-5  各地区分年龄、性别的人口,合    计,男
44,安    徽,31103394.0,1-5  各地区分年龄、性别的人口,合    计,男
45,福    建,21466757.0,1-5  各地区分年龄、性别的人口,合    计,男
46,江    西,23318533.0,1-5  各地区分年龄、性别的人口,合    计,男
47,山    东,51432931.0,1-5  各地区分年龄、性别的人口,合    计,男
48,河    南,49832349.0,1-5  各地区分年龄、性别的人口,合    计,男
49,湖    北,29694718.0,1-5  各地区分年龄、性别的人口,合    计,男
50,湖    南,33995673.0,1-5  各地区分年龄、性别的人口,合    计,男
51,广    东,66873646.0,1-5  各地区分年龄、性别的人口,合    计,男
52,广    西,25916169.0,1-5  各地区分年龄、性别的人口,合    计,男
53,海    南,5345081.0,1-5  各地区分年龄、性别的人口,合    计,男
54,重    庆,16202133.0,1-5  各地区分年龄、性别的人口,合    计,男
55,四    川,42289718.0,1-5  各地区分年龄、性别的人口,合    计,男
56,贵    州,19705293.0,1-5  各地区分年龄、性别的人口,合    计,男
57,云    南,24420924.0,1-5  各地区分年龄、性别的人口,合    计,男
58,西    藏,1913588.0,1-5  各地区分年龄、性别的人口,合    计,男
59,陕    西,20226490.0,1-5  各地区分年龄、性别的人口,合    计,男
60,甘    肃,12700948.0,1-5  各地区分年龄、性别的人口,合    计,男
61,青    海,3033846.0,1-5  各地区分年龄、性别的人口,合    计,男
